address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode
"Bushmore Road, Birmingham, West Midlands, B28",460000,Semi-Detached,5,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/153185759#/?channel=RES_BUY,True,True,False,B28
"Cadbury Road, Birmingham, West Midlands, B13",400000,End of Terrace,5,2,"Dixons, Moseley",https://www.rightmove.co.uk/properties/149044910#/?channel=RES_BUY,True,False,False,B13
"Cadbury Road, Moseley",380000,Terraced,4,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/145357994#/?channel=RES_BUY,True,False,False,
"Cadet Drive, Shirley, Solihull",210000,Flat,2,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/144958988#/?channel=RES_BUY,False,True,False,
"Cadet Drive, Shirley, Solihull, West Midlands, B90",410000,Semi-Detached,4,2,"John Shepherd, Shirley",https://www.rightmove.co.uk/properties/152016314#/?channel=RES_BUY,True,True,False,B90
"Cambridge Avenue, Solihull",675000,Semi-Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153543242#/?channel=RES_BUY,True,True,False,
"Cambridge Road, Moseley",875000,Semi-Detached,4,3,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/152313629#/?channel=RES_BUY,True,True,False,
"Cambridge Road, Moseley, Birmingham",850000,Semi-Detached,5,3,"Heritage Estate Agency, Kings Heath",https://www.rightmove.co.uk/properties/152784878#/?channel=RES_BUY,True,True,False,
"Cambridge Road, Moseley, Birmingham, B13",1495000,Detached,7,4,"Knight Frank, Birmingham",https://www.rightmove.co.uk/properties/152284175#/?channel=RES_BUY,True,True,False,B13
"Cambridge Way, Acocks Green",435000,Detached,4,2,"Encasa, Olton",https://www.rightmove.co.uk/properties/151837409#/?channel=RES_BUY,True,True,False,
"Cambridge Way, Birmingham",400000,Detached,4,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/154175105#/?channel=RES_BUY,True,True,False,
"Cambridge Way, Birmingham, West Midlands, B27",360000,Detached,3,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/149134286#/?channel=RES_BUY,True,True,False,B27
"Camford Grove, Kings Heath",235000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150111533#/?channel=RES_BUY,True,True,False,
"Canal Court, Birmingham",150000,Apartment,2,2,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/152485427#/?channel=RES_BUY,True,True,False,
"Canal Court, Birmingham",275000,Terraced,4,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/148552811#/?channel=RES_BUY,True,True,False,
"Cateswell Road, Tyseley, Birmingham, West Midlands B11 3DT",250000,Semi-Detached,3,1,"Clive Tanner Wyatts, Hall Green",https://www.rightmove.co.uk/properties/151066601#/?channel=RES_BUY,True,True,False,B11 3DT
"Century House, Stratford Road, Shirley",210000,Apartment,2,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108029#/?channel=RES_BUY,False,True,False,
"Chamberlain Crescent, Shirley",350000,Semi-Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154169741#/?channel=RES_BUY,True,True,False,
"Chamberlain Crescent, Shirley, Solihull",300000,Semi-Detached,3,1,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/138619379#/?channel=RES_BUY,True,True,False,
"Chamberlain Crescent, Shirley, Solihull",300000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/148678502#/?channel=RES_BUY,True,True,False,
"Chamberlain Crescent, Shirley, Solihull",307950,Semi-Detached,3,1,"Partridge Homes, Birmingham",https://www.rightmove.co.uk/properties/153738218#/?channel=RES_BUY,True,False,False,
"Chamberlain Crescent, Shirley, Solihull, B90 2DG",320000,Semi-Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/154487696#/?channel=RES_BUY,True,True,False,B90 2DG
"Chamberlain Crescent, Shirley, Solihull, B90 2DQ",310000,Semi-Detached,3,1,"Black & Golds Estate Agents, Solihull",https://www.rightmove.co.uk/properties/149585447#/?channel=RES_BUY,True,True,False,B90 2DQ
"Chamberlain Road, Birmingham, B13",485000,Semi-Detached,4,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/152601452#/?channel=RES_BUY,True,True,False,B13
"Chells Grove, Billesley, Birmingham",155000,Terraced,3,1,"Leaders Sales, Maypole",https://www.rightmove.co.uk/properties/154576043#/?channel=RES_BUY,True,False,False,
"Chells Grove, Birmingham, West Midlands",155000,Terraced,3,1,"First for Auctions, Nationwide",https://www.rightmove.co.uk/properties/154611110#/?channel=RES_BUY,False,True,False,
"Cheltondale Road, Solihull",565000,Semi-Detached,4,2,"Oakmans Estate Agents, Shirley",https://www.rightmove.co.uk/properties/146261570#/?channel=RES_BUY,True,True,False,
"Chesterwood Road, Birmingham, West Midlands, B13",599950,Detached,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/152353604#/?channel=RES_BUY,True,True,False,B13
"Chesterwood Road, Kings Heath, Birmingham, B13",399950,Semi-Detached,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/151616276#/?channel=RES_BUY,True,True,False,B13
"Chesterwood Road, Kings Heath, Birmingham, West Midlands, B13",525000,Detached,4,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/148844825#/?channel=RES_BUY,True,True,False,B13
"Chinn Brook Road, Billesley, Birmingham, B13",210000,End of Terrace,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/153931883#/?channel=RES_BUY,True,True,False,B13
"Chinn Brook Road, Birmingham, B13",205000,Terraced,2,1,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/148931111#/?channel=RES_BUY,True,True,False,B13
"Circular Road, Birmingham",240000,Terraced,2,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/151336823#/?channel=RES_BUY,True,True,False,
"Circular Road, Birmingham, West Midlands, B27",210000,Semi-Detached,3,1,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/148335536#/?channel=RES_BUY,False,False,False,B27
"Clarence Road, Moseley",675000,Detached,5,1,"James Laurence Estate Agents, Edgbaston",https://www.rightmove.co.uk/properties/154103810#/?channel=RES_BUY,True,True,False,
"Cleeve Road, Birmingham, West Midlands, B14",220000,End of Terrace,3,1,"Robert Oulsnam & Company, Kings Heath",https://www.rightmove.co.uk/properties/153769505#/?channel=RES_BUY,True,True,False,B14
"Coldbath Road, Kings Heath, Birmingham B13",225000,Terraced,3,1,"Glovers Estate Agents, Kings Heath",https://www.rightmove.co.uk/properties/149319863#/?channel=RES_BUY,True,False,False,B13
"Cole Valley Road, Birmingham",375000,Semi-Detached,3,2,"Shipways, Shirley",https://www.rightmove.co.uk/properties/151387379#/?channel=RES_BUY,True,True,False,
"Cole Valley Road, Birmingham",400000,Detached,3,2,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/154339229#/?channel=RES_BUY,True,True,False,
"Cole Valley Road, Birmingham, West Midlands, B28",375000,Semi-Detached,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/150863426#/?channel=RES_BUY,True,True,False,B28
"Cole Valley Road, Hall Green",300000,Semi-Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154500239#/?channel=RES_BUY,True,True,False,
"Cole Valley Road, Hall Green",400000,Detached,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/153635324#/?channel=RES_BUY,True,True,False,
"Cole Valley Road, Hall Green",400000,Detached,3,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/154107230#/?channel=RES_BUY,True,True,False,
"Colebourne Road, BIRMINGHAM, West Midlands, B13",485000,Detached,3,2,"Dixons, Kings Heath",https://www.rightmove.co.uk/properties/151875326#/?channel=RES_BUY,True,True,False,B13
"Colebourne Road, Birmingham",379950,Semi-Detached,4,1,"Partridge Homes, Birmingham",https://www.rightmove.co.uk/properties/150418754#/?channel=RES_BUY,True,True,False,
"Colebourne Road, Birmingham, B13 0EX",350000,Semi-Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/153098195#/?channel=RES_BUY,True,True,False,B13 0EX
"Colebrook Road, Shirley, Solihull",335000,Semi-Detached,4,1,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/145331594#/?channel=RES_BUY,True,True,False,
"College Road, Moseley",650000,Semi-Detached,6,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/153800363#/?channel=RES_BUY,True,True,False,
"Collingtree Court, Solihull, West Midlands, B92",180000,Apartment,2,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153640283#/?channel=RES_BUY,True,True,False,B92
"Collingtree Court, Solihull, West Midlands, B92",180000,Flat,2,2,"Bairstow Eves, Acocks Green",https://www.rightmove.co.uk/properties/153043808#/?channel=RES_BUY,False,True,False,B92
"Collingtree Court, Solihull, West Midlands, B92",185000,Flat,2,2,"Dixons, Solihull",https://www.rightmove.co.uk/properties/153378020#/?channel=RES_BUY,False,True,False,B92
"Coppice Drive, Acocks Green",215000,Terraced,2,1,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150108578#/?channel=RES_BUY,True,True,False,
"Cornbury Grove, Solihull",360000,Terraced,3,1,"Martin & Co, Solihull",https://www.rightmove.co.uk/properties/150681563#/?channel=RES_BUY,True,True,False,
"Coton Grove, Shirley, Solihull, West Midlands, B90",375000,Bungalow,3,1,"A P Morgan, Shirley",https://www.rightmove.co.uk/properties/153399116#/?channel=RES_BUY,True,True,False,B90
