Unnamed: 0,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band
412,"Park Road, Birmingham, B11",400000,Terraced,5,2,"Purplebricks, covering Birmingham",https://www.rightmove.co.uk/properties/121250654#/?channel=RES_BUY,True,False,False,B11,"Park Road, Birmingham, West Midlands, England, B11, United Kingdom",52.44853865010483,-1.868405114984758,Freehold,1.1 miles,0.1 miles,Band: C
599,"Tenchlee Place, Hall Green, Birmingham",520000,Detached,4,3,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/135112643#/?channel=RES_BUY,True,True,True,,"Shaftmoor Lane, Hall Green, Birmingham, West Midlands, England, B28 8SW, United Kingdom",52.44236410112429,-1.8427314180797243,Freehold,0.2 miles,0.2 miles,Band: TBC
595,"Tenby Road, Birmingham",200000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/147675044#/?channel=RES_BUY,True,True,False,,"Tenby Road, Springfield, Greet, Birmingham, West Midlands, England, B13 9LY, United Kingdom",52.4411433,-1.8563656,Freehold,0.6 miles,0.2 miles,Band: A
667,"Webb Lane, Hall Green",370000,Semi-Detached,3,1,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/154219634#/?channel=RES_BUY,True,True,False,,"Webb Lane, Billesley, Yardley Wood, Birmingham, West Midlands, England, B28 0DX, United Kingdom",52.4257568,-1.8527278,Freehold,0.3 miles,0.4 miles,Band: D
436,"Radbourne Road, Shirley, Solihull, B90 3RT",575000,Detached,4,2,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/151646738#/?channel=RES_BUY,True,True,False,B90 3RT,"Radbourne Road, Blossomfield, Solihull, West Midlands, England, B90 3RR, United Kingdom",52.4105685,-1.8115467,Freehold,1.0 miles,0.2 miles,
678,"Weston Lane, Birmingham",220000,Terraced,3,1,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/140933774#/?channel=RES_BUY,True,True,False,,"Weston Lane, Springfield, Greet, Birmingham, West Midlands, England, B11 2LS, United Kingdom",52.4527623,-1.8534127,Freehold,0.5 miles,0.1 miles,Band: A
377,"Myton Drive, Solihull",400000,Semi-Detached,3,1,"Abode Residential Ltd, Solihull",https://www.rightmove.co.uk/properties/153233813#/?channel=RES_BUY,True,True,False,,"Myton Drive, Solihull Lodge, Solihull, West Midlands, England, B90 1HD, United Kingdom",52.4054061,-1.8561761,Freehold,0.5 miles,0.1 miles,Band: C
145,"Colebrook Road, Shirley, Solihull",335000,Semi-Detached,4,1,"Melvyn Danes, Shirley",https://www.rightmove.co.uk/properties/145331594#/?channel=RES_BUY,True,True,False,,"Colebrook Road, Haslucks Green, Solihull, West Midlands, England, B90 1AX, United Kingdom",52.40738,-1.849299,Freehold,0.4 miles,0.2 miles,
101,"Cadbury Road, Moseley",380000,Terraced,4,2,"Rice Chamberlains LLP, Moseley",https://www.rightmove.co.uk/properties/145357994#/?channel=RES_BUY,True,False,False,,"Cadbury Road, Springfield, Wake Green, Birmingham, West Midlands, England, B13 9BH, United Kingdom",52.4496037,-1.8741293,Freehold,1.2 miles,0.1 miles,Band: D
296,"Hytall Road, Shirley, SOLIHULL",110000,Flat,1,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/150848129#/?channel=RES_BUY,True,True,False,,"Hytall Road, Solihull Lodge, Solihull, West Midlands, England, B90 1NF, United Kingdom",52.4083248,-1.8671782,Leasehold,1.0 miles,0.4 miles,Band: A
