,address,price,type,no_bed,no_bath,agent,url,garden,parking,new_home,postcode,location,latitude,longitude,tenure,to_nearest_station,to_nearest_school,tax_band,price_range
0,"Chamberlain Crescent, Shirley, Solihull, B90 2DG",320000,Semi-Detached,3,1,"Arden Estates, Solihull",https://www.rightmove.co.uk/properties/154487696#/?channel=RES_BUY,True,True,False,B90 2DG,"Chamberlain Crescent, Shirley, Solihull, West Midlands, England, B90 2DG, United Kingdom",52.4071071,-1.8342411,Freehold,0.5,0.1,C,200-400
1,"Dolphin Lane, Birmingham",260000,Terraced,3,1,"Manny Klarico, Hall Green",https://www.rightmove.co.uk/properties/152541710#/?channel=RES_BUY,True,True,False,B27 7NP,"Dolphin Lane, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7NP, United Kingdom",52.4383187,-1.8271902,,0.7,0.1,A,200-400
2,"Barrington Road, Olton, Solihull",280000,Semi-Detached,3,1,"Melvyn Danes, Solihull",https://www.rightmove.co.uk/properties/152587607#/?channel=RES_BUY,True,True,False,B92 8DP,"Barrington Road, Olton, Solihull, West Midlands, England, B92 8DP, United Kingdom",52.4403302,-1.8018797,Freehold,0.2,0.2,C,200-400
3,"St. Bernards Road, Olton, Solihull",850000,Detached,5,3,"Andrew Grant, Covering the West Midlands",https://www.rightmove.co.uk/properties/154454360#/?channel=RES_BUY,True,True,False,B92 7BJ,"St Bernards Road, Kineton Green, Solihull, West Midlands, England, B92 7BJ, United Kingdom",52.4248617,-1.8117227,Freehold,0.1,0.2,,800-1000
4,"Fircroft, Solihull",550000,Detached,4,2,"Ruxton Independent Estate Agents & Valuers, Solihull",https://www.rightmove.co.uk/properties/149876141#/?channel=RES_BUY,True,True,False,B91 1BE,"Fircroft, Ulverley Green, Solihull, West Midlands, England, B91 1BE, United Kingdom",52.4255363,-1.7974712,Freehold,0.8,0.2,F,400-600
5,"St Bernards Road, Solihull",700000,Detached,4,2,"Smart Homes Ltd, Shirley",https://www.rightmove.co.uk/properties/150109985#/?channel=RES_BUY,True,True,False,B92 7BJ,"St Bernards Road, Kineton Green, Solihull, West Midlands, England, B92 7BJ, United Kingdom",52.4248617,-1.8117227,Freehold,1.2,0.2,F,600-800
6,"Botteville Road, Birmingham",395000,Terraced,4,2,"Open House Estate Agents, Nationwide",https://www.rightmove.co.uk/properties/149075144#/?channel=RES_BUY,False,False,False,B27 7BW,"Botteville Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7BW, United Kingdom",52.4431906,-1.8214755,Freehold,0.4,0.1,C,200-400
7,"Sharmans Cross Road, Solihull",850000,Detached,4,1,"DM & Co. Homes, Solihull",https://www.rightmove.co.uk/properties/149030648#/?channel=RES_BUY,True,True,False,B91 1RQ,"Sharmans Cross Road, Sharmans Cross, Solihull, West Midlands, England, B91 1RQ, United Kingdom",52.4161413,-1.8004989,Freehold,0.5,0.2,F,800-1000
8,"Broad Road, BIRMINGHAM",360000,Semi-Detached,3,1,"Shipways, Shirley",https://www.rightmove.co.uk/properties/150295814#/?channel=RES_BUY,True,True,False,B27 7XB,"Broad Road, Acocks Green, Fox Hollies, Birmingham, West Midlands, England, B27 7XB, United Kingdom",52.4469268,-1.8289905,Freehold,0.4,0.1,B,200-400
9,"Tenchlee Place, Hall Green, Birmingham",330000,Semi-Detached,3,2,"Connells, Birmingham City",https://www.rightmove.co.uk/properties/141188108#/?channel=RES_BUY,True,True,True,B28 8SW,"Shaftmoor Lane, Hall Green, Birmingham, West Midlands, England, B28 8SW, United Kingdom",52.44236410112429,-1.8427314180797243,Freehold,0.2,0.2,TBC,200-400
10,"Warwick Road, Solihull, West Midlands, B92",200000,Other,2,1,"Dixons, Solihull",https://www.rightmove.co.uk/properties/154012946#/?channel=RES_BUY,True,True,False,B92,"Warwick Road, Olton, Solihull, West Midlands, England, B92 7JT, United Kingdom",52.4387414,-1.8071598,Leasehold,0.5,0.5,C,200-400
11,"Bushmore Road, Birmingham",375000,Semi-Detached,4,1,"Burchell Edwards, Shirley",https://www.rightmove.co.uk/properties/147843119#/?channel=RES_BUY,True,True,False,B28 9JX,"Bushmore Road, Hall Green, Birmingham, West Midlands, England, B28 9JX, United Kingdom",52.4285304,-1.8347225,Freehold,0.8,0.2,C,200-400
